INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (1, 'Damar Waskita', '5182408270339749', 'Dk. Brekke no 5', '+628009954443', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (2, 'Nur Palastri', '3569904300620008', 'Jr. Towne no 4', '+628135663781', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (4, 'Lurhur Saragih', '3098561404438383', 'Kpg. Michelle no 10', '+628367308887', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (5, 'Fathonah Kusuma', '4866421774704454', 'Jr. Hegmann no 7', '+628107594812', 'Karyawan Junior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (3, 'Dono Nababan', '9304359708132330', 'Kpg. Jaskolski no 47', '+628316802931', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (6, 'Tirta Iswahyudi', '2334199918485814', 'Ds. Lynch no 4', '+628150418552', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (7, 'Vanesa Melani', '1835830164694688', 'Ds. Ahmad no 50', '+628263898575', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (9, 'Gara Thamrin', '4509306053715702', 'Ds. Donavon no 5', '+628652623688', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (8, 'Tina Hartati', '0807612858735152', 'Dk. Lindsey no 8', '+628987449167', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (10, 'Amelia Nuraini', '3318465107517000', 'Psr. Sherman no 7', '+628474407915', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (12, 'Yoga Hakim', '6323491453251318', 'Dk. Hildegard no 62', '+628990476198', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (14, 'Dina Utami', '3359068331587637', 'Psr. Koss no 17', '+628095513418', 'Karyawan Junior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (13, 'Kasim Hutasoit', '7697527905030038', 'Psr. Jacklyn no 47', '+628859033884', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (15, 'Indira Mulyani', '7586779552584183', 'Jln. Douglas no 27', '+628792894642', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (16, 'Retno Rachmawati', '8420786355650699', 'Ds. Bosco no 6', '+628604975934', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (17, 'Ina Nurdiyanti', '8131122247010768', 'Kpg. Carroll no 3', '+628775707312', 'Karyawan Junior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (19, 'Dian Mahestri', '2824490864150509', 'Ds. Madelynn no 22', '+628192524455', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (18, 'Ulva Harini', '0195413472171688', 'Dk. Breitenberg no 16', '+628390813188', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (20, 'Bakiadi Fabian M.Pd', '7877134203729405', 'Ds. Sauer no 7', '+628719908777', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (22, 'Sasha Pudjiastuti', '0190854794963914', 'Ki. Damian no 2', '+628295243959', 'Karyawan Junior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (21, 'Nasrullah Irawan M.Pd', '5210837365903907', 'Jln. Elna no 9', '+628505002536', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (11, 'Lintang Ananda', '6650951080160841', 'Jln. Declan no 7', '+628735904690', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (24, 'Abyasa Gunarto S.Pd', '1834436673487558', 'Ki. Hoeger no 2', '+628274234168', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (25, 'Hasna Hartati', '3004684864286020', 'Jr. Monroe no 80', '+628486899403', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (27, 'Ratih Laksmiwati', '5601985371682188', 'Kpg. McDermott no 6', '+628326153723', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (23, 'Nimas Afifah', '6394145478216453', 'Ki. Aaron no 22', '+628308460114', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (26, 'Marsito Maulana', '8388496914419911', 'Ds. Kuhn no 26', '+628003844499', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (28, 'Lulut Hutasoit', '1126732760054865', 'Psr. Dena no 59', '+628456015307', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (30, 'Ajimin Hakim', '8444119112830492', 'Dk. Chaya no 43', '+628560026970', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (31, 'Galuh Haikal', '3651980372198578', 'Ki. Maci no 3', '+628083638226', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (33, 'Zulfa Yuliarti', '0066375882577125', 'Ds. Kiera no 7', '+628171606570', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (32, 'Hadi Waluyo', '2132550039310522', 'Gg. Beahan no 05', '+628379405974', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (34, 'Nasrullah Prabowo', '0718153565965217', 'Kpg. Lola no 2', '+628239406281', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (36, 'Artanto Faresta', '6178224079153420', 'Ki. DuBuque no 83', '+628259732372', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (35, 'Wahyu Marbun S.IP', '6237014145412460', 'Dk. Blick no 1', '+628398177578', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (38, 'Drajat Ramadan S.E.', '3406761616061217', 'Jln. Samir no 26', '+628568093628', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (37, 'Kariman Maheswara', '0210227219267975', 'Psr. Rhea no 9', '+628858390550', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (39, 'Prayitna Ardianto', '6031348144339534', 'Gg. Zemlak no 88', '+628694030172', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (40, 'Respati Ramadan', '0646140639749212', 'Jr. Joyce no 99', '+628509092031', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (41, 'Halima Susanti', '1722204414027094', 'Jln. Wiza no 62', '+628681128272', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (43, 'Ivan Rahardian', '5612630143219813', 'Kpg. Dagmar no 6', '+628800991014', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (29, 'Vera Fathina', '7464900775494007', 'Jln. Amalia no 3', '+628063630347', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (44, 'Cahyadi Himawan', '2010125326964209', 'Psr. Schamberger no 61', '+628878897311', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (46, 'Cecep Marpaung S.E.I', '7641913105171909', 'Jr. Avery no 3', '+628660150004', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (47, 'Shakila Salsabilla M.TI.', '6082185112093762', 'Ds. Rempel no 83', '+628691442780', 'Karyawan Junior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (48, 'Zulfa Andriani', '6051778377162214', 'Ki. Giovanni no 41', '+628305102430', 'Manager')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (49, 'Gilang Syahreza', '6146184687990412', 'Jln. Sheldon no 40', '+628494443461', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (50, 'Ajimat Iswahyudi', '6628513009344996', 'Ki. Okey no 8', '+628425872607', 'Karyawan Senior')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (45, 'Padmi Padmasari', '0711056294813208', 'Jr. Coty no 62', '+628415796331', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (51, 'Ajiono Pratama', '4152282493187056', 'Kpg. Aglae no 98', '+628069322684', 'Magang')
INSERT INTO pegawai (pg_id, pg_nama, pg_nik, pg_alamat, pg_no_telp, pg_bagian) VALUES (53, 'Maman Maulana', '4879662031345224', 'Jr. Rahul no 1', '+628047302851', 'Magang')
