INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (1, 'Bakiadi Sinaga', '+628710365758', 'Dk. Kozey no 0')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (2, 'Nugraha Salahudin', '+628925376786', 'Jr. Zander no 4')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (3, 'Chelsea Haryanti', '+628377663364', 'Ds. Schroeder no 37')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (5, 'Lidya Maheswari', '+628856712465', 'Dk. Jailyn no 13')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (6, 'Padma Padmasari S.T.', '+628920586034', 'Ds. Susana no 48')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (4, 'Icha Halimah', '+628914292050', 'Gg. Pierce no 88')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (7, 'Padmi Hastuti', '+628471977065', 'Dk. Prudence no 3')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (8, 'Karsana Wardana', '+628224709925', 'Jln. Albert no 38')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (10, 'Bakianto Lazuardi M.Ak', '+628656672341', 'Kpg. Cheyanne no 6')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (9, 'Maria Kusuma S.T.', '+628644433915', 'Ds. Garnett no 84')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (11, 'Darmanto Mandala', '+628306840407', 'Psr. King no 14')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (12, 'Sabrina Melinda', '+628651942320', 'Ki. Witting no 62')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (13, 'Makara Habibi', '+628491382470', 'Psr. Haley no 04')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (15, 'Yunita Widiastuti', '+628275453193', 'Ki. Mosciski no 47')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (17, 'Belinda Kusuma', '+628014332148', 'Psr. Conn no 8')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (16, 'Vino Pradana', '+628536761635', 'Ds. Carleton no 55')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (19, 'Wakiman Salahudin', '+628900006864', 'Dk. Esmeralda no 5')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (14, 'Vinsen Wahyudin S.Sos', '+628618326396', 'Psr. Elinor no 24')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (18, 'Sidiq Hutapea', '+628263813235', 'Jln. Stroman no 6')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (21, 'Eluh Marbun M.TI.', '+628959951677', 'Gg. Emard no 8')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (22, 'Perkasa Wicaksono', '+628129929023', 'Ki. Stanton no 97')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (24, 'Tirta Firgantoro', '+628070698774', 'Gg. Stamm no 1')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (23, 'Anita Fathina', '+628752632597', 'Dk. McLaughlin no 3')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (25, 'Lukman Najmudin S.Sos', '+628357610638', 'Ki. Nikolaus no 74')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (27, 'Ciaobella Mardhiyah', '+628549519049', 'Jln. Brady no 7')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (26, 'Nyana Saptono', '+628561928463', 'Psr. Rosenbaum no 5')
INSERT INTO supplier (sp_id, sp_nama, sp_no_telp, sp_alamat) VALUES (20, 'Okto Narpati', '+628010651512', 'Gg. Wilton no 2')
